week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,96,150,
2022-12-04,96,0,
2022-12-11,96,0,
2022-12-18,96,0,
2022-12-25,93,0,
2022-12-28,90,0,
2023-01-01,90,0,
2023-01-09,87,0,
2023-01-10,87,0,
2023-01-15,87,0,
2023-01-16,84,0,
2023-01-22,84,0,
2023-01-29,90,0,
2023-02-05,90,0,
2023-02-12,84,0,
2023-02-19,81,0,
2023-02-26,81,0,
2023-03-24,78,0,
2023-03-26,75,0,
2023-04-02,81,150,
2023-04-09,78,0,
2023-04-16,78,0,
2023-04-30,78,0,
2023-05-07,72,0,
2023-05-28,72,0,
2023-06-18,69,0,
2023-06-25,69,0,
2023-07-16,69,0,0
2023-07-23,69,0,
2023-07-30,69,0,
2023-09-01,66,0,
