week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,69,150,
2022-12-04,69,0,
2022-12-11,72,0,
2022-12-18,72,0,
2022-12-25,69,300,
2022-12-28,78,300,
2023-01-01,78,0,
2023-01-09,75,0,
2023-01-10,75,0,
2023-01-15,75,0,
2023-01-16,72,0,
2023-01-22,72,0,
2023-01-29,69,0,
2023-02-05,69,0,
2023-02-12,66,0,
2023-02-19,63,0,
2023-02-26,63,0,
2023-03-24,78,225,
2023-03-26,75,180,
2023-04-02,81,150,
2023-04-09,78,0,
2023-04-16,78,0,
2023-04-30,78,0,
2023-05-07,72,0,
2023-05-28,72,0,
2023-06-18,69,0,
2023-06-25,69,0,
