week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,0,150,
2022-12-04,0,0,
2022-12-11,12,0,
2022-12-18,12,0,
2022-12-25,12,0,
2022-12-28,12,0,
2023-01-01,12,0,
2023-01-09,12,0,
2023-01-10,12,0,
2023-01-15,12,300,
2023-01-16,21,300,
2023-01-22,21,300,
2023-01-29,21,0,
2023-02-05,21,300,
2023-02-12,39,0,
2023-02-19,36,0,
2023-02-26,36,0,
2023-03-24,39,0,
2023-03-26,39,0,
2023-04-02,36,0,
2023-04-09,36,0,
2023-04-16,36,0,
2023-04-30,36,0,
2023-05-07,33,0,
2023-05-28,33,0,
2023-06-18,30,0,
2023-06-25,30,0,
2023-07-16,30,0,0
2023-07-23,30,0,
2023-07-30,30,0,
2023-09-01,45,0,
2023-09-10,45,0,
2023-09-17,42,0,
2023-09-24,42,0,
