week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.2864916833933187,0.2864916833933187,0,0
2022-06-05,0.12895847836760355,0.12895847836760355,0,0
2022-06-12,0.01302746656777603,0.01302746656777603,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0.010615288493430783,0.010615288493430783,0,0
2022-08-07,0.10508040068566478,0.10508040068566478,0,0
2022-08-14,0.010615287108978995,0.010615287108978995,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
2022-12-04,0.048763141914479405,0.048763141914479405,0,0
2022-12-11,0.48270454842195143,0.48270454842195143,0,0
2022-12-18,3.8303612859956417,3.8303612859956417,0,0
