week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.03,0.03,0,0
2022-06-05,0.26,0.26,0,0
2022-06-12,0.03,0.03,0,0
2022-06-19,0.02,0,0.02,0
2022-06-26,0.22,0.01,0.21,0
2022-07-03,2.19,0.14,2.04,0
2022-07-10,0.32,0.11,0.21,0
2022-07-17,0.05,0.03,0.02,0
2022-07-24,0.22,0.22,0,0
2022-07-31,0.02,0.02,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0.01,0.01,0,0
2022-09-04,0.14,0.14,0,0
2022-09-11,0.01,0.01,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0.04,0.04,0,0
2022-11-13,0.35,0.35,0,0
2022-11-20,0.04,0.04,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
