week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0,0,0,0
2022-06-05,0,0,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0.020100207283581414,0.020100207283581414,0,0
2022-07-03,0.1989706732229234,0.1989706732229234,0,0
2022-07-10,0.020100148868528667,0.020100148868528667,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0.033620908085999525,0.033620908085999525,0,0
2022-09-04,0.3328123006163765,0.3328123006163765,0,0
2022-09-11,0.034552258862480104,0.034552258862480104,0,0
2022-09-18,0.012709924974424625,0.012709924974424625,0,0
2022-09-25,0.09254686508302666,0.09254686508302666,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
