passport_id,owner_address,signer_address,ens_name,voting_escrow
0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
1,0x05a4448597935c508e4ad0d2cf56d56bedb246ce,0x05a4448597935c508e4ad0d2cf56d56bedb246ce,wefet.eth,1.00
2,0x69a5c0db191697d11b0ac5637c3445d38af4b15b,0x69a5c0db191697d11b0ac5637c3445d38af4b15b,incrediblez7.eth,0.98
3,0x443d40b2aa10cb01884a97281dc8ac3ccb0eef2a,0x443d40b2aa10cb01884a97281dc8ac3ccb0eef2a,tingfei.eth,1.15
4,0x6412517845128c289e111ad9da26100f78e529d8,0x6412517845128c289e111ad9da26100f78e529d8,massatio.eth,1.08
5,0x85cb2a16698b38d48d010bd5dd0b98cdd89f570f,0x85cb2a16698b38d48d010bd5dd0b98cdd89f570f,erken.eth,1.87
6,0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631,0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631,hugo168.eth,0.97
7,0x90b0dec1f1bba847015904c115b8a99bf22925c5,0x90b0dec1f1bba847015904c115b8a99bf22925c5,unigo.eth,0.80
8,0x61c872a66d79d932f9aee874b397f2d50ed78326,0x61c872a66d79d932f9aee874b397f2d50ed78326,,0.72
9,0xf3fe8c6c75be4afb2f8200fc77339abe4d7cff33,0xf3fe8c6c75be4afb2f8200fc77339abe4d7cff33,kuiqian.eth,0.80
10,0x144cebfb9bebcbdeecd5429466044c9026df403c,0x144cebfb9bebcbdeecd5429466044c9026df403c,384000.eth,1.12
11,0x2eb894fa9708692867781d64f36e550849c3a38c,0x2eb894fa9708692867781d64f36e550849c3a38c,1319.eth,0.88
12,0xa0a0e4c41eac834d12f83120e298cd24fd6de1aa,0xa0a0e4c41eac834d12f83120e298cd24fd6de1aa,cryptomage.eth,1.31
13,0x0096de908babe0c94114da6f5d2cb47f7dc1b665,0x0096de908babe0c94114da6f5d2cb47f7dc1b665,intrepid-explorer.eth,1.70
14,0x8465f0641137130873dc204366c125cccb1f591f,0x8465f0641137130873dc204366c125cccb1f591f,87678.eth,0.96
15,0x540a6950376edc97d449eccfd1987c100843be72,0x540a6950376edc97d449eccfd1987c100843be72,,0.81
16,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
17,0xfba1c821847909b1a246c2a0577754c33cfa5439,0xfba1c821847909b1a246c2a0577754c33cfa5439,sankara.eth,0.67
18,0x957e05840d80a31a26df11ee2df13cc894b588bb,0x957e05840d80a31a26df11ee2df13cc894b588bb,imstone.eth,1.22
19,0x5bef8a4bf4b9e00cfbb12c22c759915ca7a895ad,0x5bef8a4bf4b9e00cfbb12c22c759915ca7a895ad,andrewteh.eth,0.79
20,0x24b1edfd5fe28e4a50b0d0bc248d1d84fd91d62a,0x24b1edfd5fe28e4a50b0d0bc248d1d84fd91d62a,,0.74
21,0xc50eff9cf391e1fbbf0d207d0ae52aa6df1b603b,0xc50eff9cf391e1fbbf0d207d0ae52aa6df1b603b,gitdao.eth,1.16
22,0x199c719c83d8246559700c00fff8cde14182e192,0x199c719c83d8246559700c00fff8cde14182e192,cbdao.eth,0.74
23,0x28eeb97c6b2a8f78c6849f9e0a31a270984017de,0x28eeb97c6b2a8f78c6849f9e0a31a270984017de,,0.82
24,0xf968030893d9a02f51d135c5eef17513a2981aca,0xf968030893d9a02f51d135c5eef17513a2981aca,obanana.eth,1.21
25,0x4cdee86f463b4e08851aa2fdc05e578cd78586ed,0x4cdee86f463b4e08851aa2fdc05e578cd78586ed,0xstt.eth,0.81
