week_end,block,voting_escrow
2022-06-05,14905988,2.40
2022-06-12,14947132,2.39
2022-06-19,14987809,2.37
2022-06-26,15026233,2.36
2022-07-03,15066169,2.35
2022-07-10,15111487,2.34
2022-07-17,15156813,2.33
2022-07-24,15202012,2.31
2022-07-31,15246903,2.30
2022-08-07,15291833,2.29
2022-08-14,15336463,2.28
2022-08-21,15380672,2.27
2022-08-28,15424591,2.25
2022-09-04,15468373,2.24
2022-09-11,15511691,2.23
2022-09-18,15556726,2.22
2022-09-25,15606660,2.21
2022-10-02,15656732,2.19
2022-10-09,15706816,2.18
2022-10-16,15756957,2.17
2022-10-23,15807086,2.16
2022-10-30,15857151,2.15
2022-11-06,15907253,2.14
2022-11-13,15957380,2.12
2022-11-20,16007503,2.11
2022-11-27,16057597,2.10
2022-12-04,16107727,2.09
2022-12-11,16157748,2.08
2022-12-18,16207857,2.06
2022-12-25,16258038,2.05
2023-01-01,16308190,2.04
2023-01-08,16358347,2.03
2023-01-15,16408488,2.02
2023-01-22,16458621,2.00
2023-01-29,16508758,1.99
2023-02-05,16558857,1.98
2023-02-12,16608958,1.97
2023-02-19,16658939,1.96
2023-02-26,16708711,1.95
2023-03-05,16758496,1.93
2023-03-12,16808258,1.92
2023-03-19,16858067,1.91
2023-03-26,16907900,1.90
2023-04-02,16957717,1.89
2023-04-09,17007072,1.87
2023-04-16,17055792,1.86
2023-04-23,17105310,1.85
2023-04-30,17155164,1.84
2023-05-07,17204968,1.83
2023-05-14,17254453,1.81
2023-05-21,17304051,1.80
2023-05-28,17353818,1.79
2023-06-04,17403556,1.78
2023-06-11,17453186,1.77
2023-06-18,17502962,1.75
2023-06-25,17552799,1.74
2023-07-02,17602620,1.73
2023-07-09,17652460,1.72
2023-07-16,17702170,1.71
2023-07-23,17752102,1.70
2023-07-30,17802131,1.68
2023-08-06,17852208,1.67
2023-08-13,17902217,1.66
2023-08-20,17952252,1.65
2023-08-27,18002285,1.64
2023-09-03,18052254,1.62
2023-09-10,18102263,1.61
2023-09-17,18152100,1.60
2023-09-24,18201951,1.59
2023-10-01,18251965,1.58
2023-10-08,18302049,1.56
2023-10-15,18352059,1.55
2023-10-22,18402122,1.54
2023-10-29,18452128,1.53
2023-11-05,18502099,1.52
2023-11-12,18552123,1.51
2023-11-19,18602145,1.49
2023-11-26,18652140,1.48
2023-12-03,18702159,1.47
2023-12-10,18752098,1.46
2023-12-17,18802046,1.45
2023-12-24,18851936,1.43
2023-12-31,18901758,1.42
2024-01-07,18951539,1.41
2024-01-14,19001407,1.40
2024-01-21,19051515,1.39
2024-01-28,19101334,1.37
2024-02-04,19151256,1.36
2024-02-11,19201123,1.35
2024-02-18,19250998,1.34
2024-02-25,19300884,1.33
2024-03-03,19350920,1.31
2024-03-10,19400982,1.30
2024-03-17,19450870,1.29
2024-03-24,19500711,1.28
2024-03-31,19550183,1.27
2024-04-07,19600114,1.26
2024-04-14,19650067,1.24
2024-04-21,19700063,1.23
2024-04-28,19750103,1.22
2024-05-05,19800180,1.21
2024-05-12,19850230,1.20
2024-05-19,19900268,1.18
2024-05-26,19950330,1.17
2024-06-02,20000416,1.16
2024-06-09,20050553,1.15
2024-06-16,20100627,1.14
2024-06-23,20150677,1.12
2024-06-30,20200783,1.11
2024-07-07,20250914,1.10
2024-07-14,20301021,1.09
2024-07-21,20351186,1.08
2024-07-28,20401322,1.07
2024-08-04,20451460,1.05
2024-08-11,20501655,1.04
2024-08-18,20551784,1.03
2024-08-25,20601892,1.02
2024-09-01,20651994,1.01
2024-09-08,20702171,0.99
2024-09-15,20752288,0.98
2024-09-22,20802390,0.97
2024-09-29,20852573,0.96
2024-10-06,20902785,0.95
2024-10-13,20952958,0.93
2024-10-20,21003064,0.92
2024-10-27,21053237,0.91
2024-11-03,21103393,0.90
2024-11-10,21153542,0.89
2024-11-17,21203704,0.87
2024-11-24,21253880,0.86
2024-12-01,21303934,0.85
2024-12-08,21354048,0.84
2024-12-15,21404197,0.83
2024-12-22,21454315,0.82
2024-12-29,21504402,0.80
2025-01-05,21554557,0.79
2025-01-12,21604681,0.78
2025-01-19,21654815,0.77
2025-01-26,21704967,0.76
2025-02-02,21755111,0.74
2025-02-09,21805233,0.73
2025-02-16,21855251,0.72
