week_end,block,voting_power
2022-06-05,14905988,2.55
2022-06-12,14947132,2.53
2022-06-19,14987809,2.51
2022-06-26,15026233,2.48
2022-07-03,15066169,2.46
2022-07-10,15111487,2.43
2022-07-17,15156813,2.41
2022-07-24,15202012,2.39
2022-07-31,15246903,2.36
2022-08-07,15291833,2.34
2022-08-14,15336463,2.32
2022-08-21,15380672,2.29
2022-08-28,15424591,2.27
2022-09-04,15468373,2.24
2022-09-11,15511691,2.22
2022-09-18,15556726,2.20
2022-09-25,15606660,2.17
2022-10-02,15656732,2.15
2022-10-09,15706816,2.12
2022-10-16,15756957,2.10
2022-10-23,15807086,2.08
2022-10-30,15857151,2.05
2022-11-06,15907253,2.03
2022-11-13,15957380,2.00
2022-11-20,16007503,1.98
2022-11-27,16057597,1.96
2022-12-04,16107727,1.93
2022-12-11,16157748,1.91
2022-12-18,16207857,1.88
2022-12-25,16258038,1.86
2023-01-01,16308190,1.84
2023-01-08,16358347,1.81
2023-01-15,16408488,1.79
2023-01-22,16458621,1.76
2023-01-29,16508758,1.74
2023-02-05,16558857,1.72
2023-02-12,16608958,1.69
2023-02-19,16658939,1.67
2023-02-26,16708711,1.64
2023-03-05,16758496,1.62
2023-03-12,16808258,1.60
2023-03-19,16858067,1.57
2023-03-26,16907900,1.55
