week_end,block,voting_power
2022-06-05,14905988,2.43
2022-06-12,14947132,2.41
2022-06-19,14987809,2.40
2022-06-26,15026233,2.39
2022-07-03,15066169,2.38
2022-07-10,15111487,2.37
2022-07-17,15156813,2.35
2022-07-24,15202012,2.34
2022-07-31,15246903,2.33
2022-08-07,15291833,2.32
2022-08-14,15336463,2.31
2022-08-21,15380672,2.29
2022-08-28,15424591,2.28
2022-09-04,15468373,2.27
2022-09-11,15511691,2.26
2022-09-18,15556726,2.25
2022-09-25,15606660,2.23
2022-10-02,15656732,2.22
2022-10-09,15706816,2.21
2022-10-16,15756957,2.20
2022-10-23,15807086,2.19
2022-10-30,15857151,2.17
2022-11-06,15907253,2.16
2022-11-13,15957380,2.15
2022-11-20,16007503,2.14
2022-11-27,16057597,2.12
2022-12-04,16107727,2.11
2022-12-11,16157748,2.10
2022-12-18,16207857,2.09
2022-12-25,16258038,2.08
2023-01-01,16308190,2.06
2023-01-08,16358347,2.05
